Augmentation,RunID,F1-Score,Recall,Precision,Accuracy,person_F1 score,person_Precision,person_Recall,bicycle_F1 score,bicycle_Precision,bicycle_Recall,car_F1 score,car_Precision,car_Recall,motorcycle_F1 score,motorcycle_Precision,motorcycle_Recall,siren_F1 score,siren_Precision,siren_Recall,bus_F1 score,bus_Precision,bus_Recall,truck_F1 score,truck_Precision,truck_Recall
_SpecAugment_BackgroundNoise_AirAbsorption_TimeStretch_P,04,0.5752674965974376,0.7279016662684112,0.5065518265353337,0.8111432032050685,0.9317150474022375,0.9309404439983011,0.93252866812042,0.5637230493452172,0.4253086245374163,0.8401993355481727,0.9119041555115719,0.9140804316981834,0.9097635128907786,0.3630596467566817,0.30229398073948127,0.5333760993659471,0.6850348988524784,0.5757201646090535,0.8488777089783281,0.4662858991039466,0.3204166666666667,0.8560538560538561,0.1051497792099296,0.07710247349823321,0.17451248292137622
_SpecAugment_BackgroundNoise_AirAbsorption_P,04,0.5668492728388586,0.6808003969007812,0.5204359265817216,0.8113885396084067,0.9326982280231159,0.927896105257986,0.9377783838159186,0.5519599174771588,0.41395177888856216,0.8317073170731708,0.9131016144349478,0.9225341189463703,0.9042345032711485,0.4356240732218643,0.4513366511808417,0.4688202247191011,0.6735700197238659,0.5853940909511901,0.8034001743679163,0.41696703296703297,0.31692401877423304,0.6107960199004976,0.04402402402402403,0.02501472207286786,0.20886615515771526
_SpecAugment_BackgroundNoise_AirAbsorption_ClippingDistortion_TimeStretch_P,04,0.5705402253491783,0.691926053084019,0.5093210249026905,0.8116392714349178,0.9295426289124304,0.9205900932495257,0.9388596521343016,0.49735542503141345,0.3671875,0.7756947715496938,0.9159846065357613,0.9303934464082941,0.9020871462212083,0.42871016187959393,0.37894405682406074,0.5015095415812325,0.661811747616325,0.5631896359169086,0.8058796614047129,0.44370577160293445,0.31799140708915147,0.7406779661016949,0.11667123586578862,0.08695103483089349,0.17877363259528864
_SpecAugment_BackgroundNoise_AirAbsorption_ClippingDistortion_P,04,0.5773687614611492,0.7308588900173019,0.5095969586445117,0.8084727661089356,0.9314505470985266,0.9314315581773993,0.9314923330677739,0.5262844119520745,0.37909948990405673,0.8610441767068273,0.913458591812258,0.9153766990734242,0.9116293664138408,0.39189000685334446,0.298036156714638,0.5720282901811564,0.6813093843550697,0.6096393233322694,0.7878137448273195,0.4371754932502596,0.2940844717383131,0.851890756302521,0.16001289490651194,0.13951101157148188,0.20011356262167423
_SpecAugment_AirAbsorption_TimeStretch_P,04,0.5660747865734211,0.6932293361502275,0.5035022543789331,0.8135669362084457,0.9295500348520005,0.9279817095747841,0.9312442556574012,0.5479892529302461,0.4213450292397661,0.7835698206743051,0.909187468038354,0.9148562338887242,0.9036244837409659,0.41343331498807556,0.3644298245614035,0.4935264109518275,0.6348056348220821,0.5296474358974359,0.793752246008522,0.4263477266731158,0.29280177187153933,0.784189723320158,0.1012100737100737,0.07345377561887939,0.16269841269841268
_SpecAugment_AirAbsorption_P,04,0.572009392878947,0.6980778742249969,0.5189623763534692,0.8078122134604805,0.9259865792644318,0.9200295878125249,0.9320723744451341,0.5304002882662253,0.40609882127398267,0.7664203612479474,0.9069473083596542,0.9124325188144997,0.9015414126591681,0.41664912966359013,0.37009094060074843,0.5035432847667101,0.6542473799285178,0.5584833811292369,0.7945380537675123,0.41610588053711994,0.2871019295056009,0.7721611721611722,0.15372918413309003,0.17849945533769065,0.21626846052733317
_SpecAugment_AirAbsorption_ClippingDistortion_TimeStretch_P,04,0.5813245740364786,0.7058663955878246,0.5178582110368564,0.8081701975507285,0.9284145119761273,0.9294955861168284,0.9275208564946628,0.5346669741342865,0.40191370309480545,0.8021637883652983,0.9085196861989752,0.9111685193478574,0.9060077611242254,0.3605762394215729,0.27647559833063623,0.5256886412875271,0.6695769273931097,0.5823719894758146,0.7950404858299596,0.49746762740183786,0.360422968958657,0.8066971080669711,0.17005005172944104,0.163159111933395,0.17794612794612796
_SpecAugment_AirAbsorption_ClippingDistortion_P,04,0.5717453025787878,0.7313478926020893,0.506818432206974,0.8136081360813608,0.9321548706977355,0.9260464118030116,0.9383781793769015,0.5656835667784573,0.4196457000607868,0.8730457801308004,0.9130803489776249,0.9236728139904611,0.9028515649936355,0.4092314487632509,0.3599595798845057,0.4852999003474373,0.6672605962435882,0.5752452157212429,0.8043207681365576,0.45125023038643486,0.3066700741119346,0.862145390070922,0.06355605620442284,0.03648922987687521,0.25339366515837103
_ClippingDistortion_TimeStretch_P,04,0.5749726123927763,0.7167703152393017,0.5093774938588671,0.815403422982885,0.9300753295668549,0.9253019731300665,0.9349279196790294,0.5434761488390167,0.4074256074256074,0.8172844922132046,0.9127807509100336,0.9190682955549014,0.9066973432887655,0.3889654977001614,0.29518195741743425,0.5729749906681598,0.6706903679206284,0.5933424845573095,0.7811988695522831,0.43158043141125046,0.29274193548387095,0.8271428571428572,0.1472397604014894,0.1325802034428795,0.17716573413081227
_ClippingDistortion_P,04,0.5770831219531238,0.7222161749170901,0.5111182559649987,0.8070206077541041,0.9298301909258299,0.9251309744980556,0.9345947028389842,0.5684931506849316,0.4344526344526345,0.8274010737721217,0.9143711188837349,0.9223126912337981,0.9065732878117281,0.3941767735504237,0.3197737127078974,0.5191584288338728,0.6757532281205165,0.5841626630061771,0.8066926575698505,0.4187069105911731,0.29032258064516125,0.7523809523809524,0.13825048091525768,0.10167253521126761,0.3087121212121212
